              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:   
Subject No:   
Date of Birth:   
Subject Address:   
Operator:    
Date: 10:46:00 (7/5/2026)  
DRT4 Serial Number: #3173  
Comment:   
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:  10/sec 
Time Constant: off 
Time Offset: 0.05 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0.0	 78.2 
2	0	0	0.1	 70.3 
889	0	1	28.8	 48.1 
890	0	1	28.9	 54.2 
891	0	1	29.0	 54.4 
892	0	1	29.1	 54.9 
893	0	1	29.2	 49.9 
894	0	1	29.3	 44.0 
895	0	1	29.4	 39.4 
896	0	1	29.5	 37.8 
897	0	1	29.6	 37.6 
898	0	1	29.7	 34.5 
899	0	1	29.8	 52.5 
900	0	1	29.9	 53.3 
901	0	1	30.0	 39.1 
902	0	1	30.1	 47.3 
903	0	1	30.2	 44.7 
904	0	1	30.3	 49.3 
905	0	1	30.4	 61.0 
906	0	1	30.5	 81.0 
907	0	1	30.6	 78.8 
908	0	1	30.7	 93.6 
909	0	1	30.8	 81.8 
910	0	1	30.9	 73.9 
911	0	1	31.0	 67.7 
912	0	1	31.1	 71.6 
913	0	1	31.2	 99.4 
914	0	1	31.3	100.3 
915	0	1	31.4	 90.2 
916	0	1	31.5	 87.5 
917	0	1	31.6	 88.3 
918	0	1	31.7	 85.3 
919	0	1	31.8	 87.3 
920	0	1	31.9	 98.0 
921	0	1	32.0	115.3 
922	0	1	32.1	121.1 
923	0	1	32.2	111.8 
924	0	1	32.3	 89.8 
925	0	1	32.4	 82.6 
926	0	1	32.5	 66.7 
927	0	1	32.6	 65.2 
928	0	1	32.7	 63.8 
929	0	1	32.8	 62.6 
930	0	1	32.9	 60.4 
931	0	1	33.0	 59.1 
932	0	1	33.1	 72.7 
933	0	1	33.2	 76.3 
934	0	1	33.3	 74.9 
935	0	1	33.4	104.9 
936	0	1	33.5	112.1 
937	0	1	33.6	100.0 
938	0	1	33.7	 82.4 
939	0	1	33.8	 91.5 
940	0	1	33.9	 98.4 
941	0	1	34.0	101.9 
942	0	1	34.1	112.7 
943	0	1	34.2	125.4 
944	0	1	34.3	 96.9 
945	0	1	34.4	 83.3 
946	0	1	34.5	 82.9 
947	0	1	34.6	 86.4 
948	0	1	34.7	 83.5 
949	0	1	34.8	 90.0 
950	0	1	34.9	106.3 
951	0	1	35.0	109.6 
952	0	1	35.1	107.2 
953	0	1	35.2	 92.8 
954	0	1	35.3	 84.3 
955	0	1	35.4	110.5 
956	0	1	35.5	124.2 
957	0	1	35.6	108.2 
958	0	1	35.7	 96.8 
959	0	1	35.8	 89.3 
960	0	1	35.9	 80.3 
961	0	1	36.0	 74.3 
962	0	1	36.1	 61.7 
963	0	1	36.2	 79.8 
964	0	1	36.3	 74.7 
965	0	1	36.4	 66.6 
966	0	1	36.5	 52.5 
967	0	1	36.6	 37.3 
968	0	1	36.7	 36.0 
969	0	1	36.8	 39.4 
970	0	1	36.9	 58.5 
971	0	1	37.0	 57.7 
972	0	1	37.1	 53.7 
973	0	1	37.2	 46.8 
974	0	1	37.3	 46.2 
975	0	1	37.4	 33.8 
976	0	1	37.5	 29.1 
977	0	1	37.6	 33.3 
978	0	1	37.7	 35.3 
979	0	1	37.8	 45.8 
980	0	1	37.9	 61.7 
981	0	1	38.0	 47.7 
982	0	1	38.1	 53.9 
983	0	1	38.2	 41.2 
984	0	1	38.3	 34.9 
985	0	1	38.4	 28.0 
986	0	1	38.5	 28.6 
987	0	1	38.6	 37.8 
988	0	1	38.7	 57.7 
989	0	1	38.8	 63.8 
990	0	1	38.9	 52.2 
991	0	1	39.0	 46.1 
992	0	1	39.1	 39.0 
993	0	1	39.2	 46.0 
994	0	1	39.3	 31.1 
995	0	1	39.4	 43.8 
996	0	1	39.5	 74.3 
997	0	1	39.6	 85.2 
998	0	1	39.7	 76.7 
999	0	1	39.8	 68.8 
1000	0	1	39.9	 67.7 
1001	0	1	40.0	 67.6 
1002	0	1	40.1	 63.6 
1003	0	1	40.2	 55.4 
1004	0	1	40.3	 52.8 
1005	0	1	40.4	 83.5 
1006	0	1	40.5	 85.5 
1007	0	1	40.6	 81.2 
1008	0	1	40.7	 66.6 
1009	0	1	40.8	 42.2 
1010	0	1	40.9	 36.2 
1011	0	1	41.0	 41.1 
1012	0	1	41.1	 38.6 
1013	0	1	41.2	 77.5 
1014	0	1	41.3	108.9 
1015	0	1	41.4	100.5 
1016	0	1	41.5	 77.7 
1017	0	1	41.6	 68.1 
1018	0	1	41.7	 69.9 
1019	0	1	41.8	 76.6 
1020	0	1	41.9	105.9 
1021	0	1	42.0	135.2 
1022	0	1	42.1	137.0 
1023	0	1	42.2	123.1 
1024	0	1	42.3	123.9 
1025	0	1	42.4	129.8 
1026	0	1	42.5	127.5 
1027	0	1	42.6	129.6 
1028	0	1	42.7	161.5 
1029	0	1	42.8	195.2 
1030	0	1	42.9	204.8 
1031	0	1	43.0	203.9 
1032	0	1	43.1	177.0 
1033	0	1	43.2	180.1 
1034	0	1	43.3	179.2 
1035	0	1	43.4	200.7 
1036	0	1	43.5	215.3 
1037	0	1	43.6	200.5 
1038	0	1	43.7	196.8 
1039	0	1	43.8	196.5 
1040	0	1	43.9	179.5 
1041	0	1	44.0	171.6 
1042	0	1	44.1	169.9 
1043	0	1	44.2	195.3 
1044	0	1	44.3	192.9 
1045	0	1	44.4	187.9 
1046	0	1	44.5	169.8 
1047	0	1	44.6	157.9 
1048	0	1	44.7	153.6 
1049	0	1	44.8	156.3 
1050	0	1	44.9	165.3 
1051	0	1	45.0	166.0 
1052	0	1	45.1	172.2 
1053	0	1	45.2	163.0 
1054	0	1	45.3	151.0 
1055	0	1	45.4	133.0 
1056	0	1	45.5	154.9 
1057	0	1	45.6	156.0 
1058	0	1	45.7	158.0 
1059	0	1	45.8	148.7 
1060	0	1	45.9	150.7 
1061	0	1	46.0	132.2 
1062	0	1	46.1	109.3 
1063	0	1	46.2	128.5 
1064	0	1	46.3	130.2 
1065	0	1	46.4	105.9 
1066	0	1	46.5	114.0 
1067	0	1	46.6	100.5 
1068	0	1	46.7	 94.7 
1069	0	1	46.8	106.2 
1070	0	1	46.9	119.4 
1071	0	1	47.0	108.8 
1072	0	1	47.1	107.5 
1073	0	1	47.2	110.4 
1074	0	1	47.3	116.7 
1075	0	1	47.4	122.0 
1076	0	1	47.5	140.8 
1077	0	1	47.6	171.9 
1078	0	1	47.7	155.2 
1079	0	1	47.8	148.2 
1080	0	1	47.9	135.3 
1081	0	1	48.0	106.6 
1082	0	1	48.1	 90.8 
1083	0	1	48.2	127.4 
1084	0	1	48.3	152.7 
1085	0	1	48.4	140.2 
1086	0	1	48.5	143.1 
1087	0	1	48.6	137.3 
1088	0	1	48.7	110.4 
1089	0	1	48.8	100.8 
1090	0	1	48.9	120.5 
1091	0	1	49.0	131.0 
1092	0	1	49.1	135.0 
1093	0	1	49.2	115.2 
1094	0	1	49.3	115.0 
1095	0	1	49.4	 95.7 
1096	0	1	49.5	 96.0 
1097	0	1	49.6	133.3 
1098	0	1	49.7	128.5 
1099	0	1	49.8	119.8 
1100	0	1	49.9	 98.3 
1101	0	1	50.0	106.9 
1102	0	1	50.1	 84.5 
1103	0	1	50.2	102.0 
1104	0	1	50.3	109.3 
1105	0	1	50.4	 98.7 
1106	0	1	50.5	 81.5 
1107	0	1	50.6	 76.3 
1108	0	1	50.7	 73.3 
1109	0	1	50.8	 68.3 
1110	0	1	50.9	 82.0 
1111	0	1	51.0	 88.1 
1112	0	1	51.1	 97.8 
1113	0	1	51.2	 88.2 
1114	0	1	51.3	 78.0 
1115	0	1	51.4	 61.4 
1116	0	1	51.5	 49.5 
1117	0	1	51.6	 71.3 
1118	0	1	51.7	 85.2 
1119	0	1	51.8	 84.4 
1120	0	1	51.9	 76.0 
1121	0	1	52.0	 61.0 
1122	0	1	52.1	 46.5 
1123	0	1	52.2	 39.9 
1124	0	1	52.3	 37.4 
1125	0	1	52.4	 67.7 
1126	0	1	52.5	 70.2 
1127	0	1	52.6	 46.2 
1128	0	1	52.7	 52.2 
1129	0	1	52.8	 44.2 
1130	0	1	52.9	 33.2 
1131	0	1	53.0	 40.7 
1132	0	1	53.1	 45.9 
1133	0	1	53.2	 60.1 
1134	0	1	53.3	 69.9 
1135	0	1	53.4	 72.9 
1136	0	1	53.5	 65.4 
1137	0	1	53.6	 53.7 
1138	0	1	53.7	 44.5 
1139	0	1	53.8	 69.8 
1140	0	1	53.9	 94.8 
1141	0	1	54.0	 95.2 
1142	0	1	54.1	106.7 
1143	0	1	54.2	 88.9 
1144	0	1	54.3	 89.4 
1145	0	1	54.4	 89.3 
1146	0	1	54.5	 93.4 
1147	0	1	54.6	 98.4 
1148	0	1	54.7	 90.4 
1149	0	1	54.8	 92.7 
1150	0	1	54.9	 72.8 
1151	0	1	55.0	 77.0 
1152	0	1	55.1	 86.6 
1153	0	1	55.2	 74.5 
1154	0	1	55.3	 75.6 
1155	0	1	55.4	 66.3 
1156	0	1	55.5	 73.7 
1157	0	1	55.6	 85.3 
1158	0	1	55.7	 88.9 
1159	0	1	55.8	 88.7 
1160	0	1	55.9	 73.4 
1161	0	1	56.0	 74.2 
1162	0	1	56.1	 67.9 
1163	0	1	56.2	 67.0 
1164	0	1	56.3	 53.2 
1165	0	1	56.4	 69.1 
1166	0	1	56.5	 79.2 
1167	0	1	56.6	 58.1 
1168	0	1	56.7	 44.3 
1169	0	1	56.8	 56.1 
1170	0	1	56.9	 57.3 
1171	0	1	57.0	 56.6 
1172	0	1	57.1	 58.1 
1173	0	1	57.2	 61.3 
1174	0	1	57.3	 70.7 
1175	0	1	57.4	 44.6 
1176	0	1	57.5	 35.4 
1177	0	1	57.6	 41.0 
1178	0	1	57.7	 41.1 
1179	0	1	57.8	 42.2 
1180	0	1	57.9	 42.3 
1181	0	1	58.0	 41.0 
1182	0	1	58.1	 62.6 
1183	0	1	58.2	 60.7 
1184	0	1	58.3	 79.6 
1185	0	1	58.4	 74.7 
1186	0	1	58.5	 89.4 
1187	0	1	58.6	 85.2 
1188	0	1	58.7	 85.4 
1189	0	1	58.8	 89.1 
1190	0	1	58.9	121.3 
1191	0	1	59.0	103.4 
1192	0	1	59.1	 84.8 
1193	0	1	59.2	 67.1 
1194	0	1	59.3	 60.9 
1195	0	1	59.4	 45.7 
1196	0	1	59.5	 50.4 
1197	0	1	59.6	 42.8 
1198	0	1	59.7	 53.5 
1199	0	1	59.8	 76.8 
1200	0	1	59.9	 87.4 
1201	0	2	0.0	 80.8 
1202	0	2	0.1	 80.2 
1203	0	2	0.2	 84.0 
1204	0	2	0.3	 45.9 
1205	0	2	0.4	 38.8 
1206	0	2	0.5	 43.4 
1207	0	2	0.6	 48.2 
1208	0	2	0.7	 46.4 
1209	0	2	0.8	 62.1 
1210	0	2	0.9	 47.2 
1211	0	2	1.0	 47.3 
1212	0	2	1.1	 49.5 
1213	0	2	1.2	 55.4 
1214	0	2	1.3	 49.4 
1215	0	2	1.4	 58.7 
1216	0	2	1.5	 77.7 
1217	0	2	1.6	 67.9 
1218	0	2	1.7	 51.6 
1219	0	2	1.8	 29.0 
1220	0	2	1.9	 24.3 
1221	0	2	2.0	 22.4 
1222	0	2	2.1	 17.0 
1223	0	2	2.2	 21.6 
1224	0	2	2.3	 28.4 
1225	0	2	2.4	 56.9 
1226	0	2	2.5	 58.4 
1227	0	2	2.6	 55.0 
1228	0	2	2.7	 41.4 
1229	0	2	2.8	 36.2 
1230	0	2	2.9	 29.8 
1231	0	2	3.0	 39.2 
1232	0	2	3.1	 24.5 
1233	0	2	3.2	 43.9 
1234	0	2	3.3	 85.1 
1235	0	2	3.4	 69.4 
1236	0	2	3.5	 50.5 
1237	0	2	3.6	 37.7 
1238	0	2	3.7	 36.8 
1239	0	2	3.8	 36.4 
1240	0	2	3.9	 19.8 
1241	0	2	4.0	 28.2 
1242	0	2	4.1	 72.7 
1243	0	2	4.2	 81.4 
1244	0	2	4.3	 60.3 
1245	0	2	4.4	 63.1 
1246	0	2	4.5	 58.5 
1247	0	2	4.6	 43.0 
1248	0	2	4.7	 42.7 
1249	0	2	4.8	 34.3 
1250	0	2	4.9	 64.7 
1251	0	2	5.0	 91.2 
1252	0	2	5.1	 83.6 
1253	0	2	5.2	 86.0 
1254	0	2	5.3	 81.2 
1255	0	2	5.4	 62.1 
1256	0	2	5.5	 61.7 
1257	0	2	5.6	 71.6 
1258	0	2	5.7	121.4 
1259	0	2	5.8	121.5 
1260	0	2	5.9	121.6 
1261	0	2	6.0	105.8 
1262	0	2	6.1	 89.8 
1263	0	2	6.2	 80.8 
1264	0	2	6.3	110.9 
1265	0	2	6.4	150.8 
1266	0	2	6.5	160.8 
1267	0	2	6.6	179.4 
1268	0	2	6.7	173.5 
1269	0	2	6.8	174.6 
1270	0	2	6.9	171.2 
1271	0	2	7.0	173.8 
1272	0	2	7.1	199.7 
1273	0	2	7.2	215.4 
1274	0	2	7.3	217.8 
1275	0	2	7.4	223.3 
1276	0	2	7.5	199.1 
1277	0	2	7.6	189.3 
1278	0	2	7.7	187.5 
1279	0	2	7.8	170.4 
1280	0	2	7.9	184.8 
1281	0	2	8.0	203.2 
1282	0	2	8.1	198.8 
1283	0	2	8.2	197.3 
1284	0	2	8.3	198.8 
1285	0	2	8.4	184.4 
1286	0	2	8.5	185.5 
1287	0	2	8.6	202.1 
1288	0	2	8.7	226.3 
1289	0	2	8.8	217.9 
1290	0	2	8.9	202.9 
1291	0	2	9.0	194.0 
1292	0	2	9.1	193.2 
1293	0	2	9.2	185.4 
1294	0	2	9.3	207.5 
1295	0	2	9.4	225.2 
1296	0	2	9.5	223.6 
1297	0	2	9.6	213.6 
1298	0	2	9.7	217.7 
1299	0	2	9.8	213.9 
1300	0	2	9.9	210.5 
1301	0	2	10.0	218.1 
1302	0	2	10.1	245.3 
1303	0	2	10.2	233.5 
1304	0	2	10.3	213.5 
1305	0	2	10.4	191.7 
1306	0	2	10.5	207.9 
1307	0	2	10.6	180.5 
1308	0	2	10.7	196.1 
1309	0	2	10.8	211.1 
1310	0	2	10.9	207.4 
1311	0	2	11.0	216.1 
1312	0	2	11.1	195.1 
1313	0	2	11.2	190.0 
1314	0	2	11.3	176.7 
1315	0	2	11.4	200.1 
1316	0	2	11.5	229.8 
1317	0	2	11.6	225.8 
1318	0	2	11.7	203.6 
1319	0	2	11.8	203.6 
1320	0	2	11.9	212.6 
1321	0	2	12.0	211.0 
1322	0	2	12.1	227.0 
1323	0	2	12.2	233.1 
1324	0	2	12.3	199.2 
1325	0	2	12.4	191.7 
1326	0	2	12.5	199.2 
1327	0	2	12.6	211.3 
1328	0	2	12.7	209.4 
1329	0	2	12.8	216.6 
1330	0	2	12.9	230.4 
1331	0	2	13.0	226.1 
1332	0	2	13.1	219.9 
1333	0	2	13.2	218.6 
1334	0	2	13.3	216.4 
1335	0	2	13.4	195.7 
1336	0	2	13.5	184.3 
1337	0	2	13.6	189.2 
1338	0	2	13.7	175.0 
1339	0	2	13.8	185.1 
1340	0	2	13.9	192.7 
1341	0	2	14.0	188.1 
1342	0	2	14.1	196.3 
1343	0	2	14.2	201.4 
1344	0	2	14.3	215.8 
1345	0	2	14.4	204.9 
1346	0	2	14.5	203.3 
1347	0	2	14.6	188.3 
1348	0	2	14.7	174.4 
1349	0	2	14.8	183.1 
1350	0	2	14.9	217.2 
1351	0	2	15.0	212.6 
1352	0	2	15.1	189.4 
1353	0	2	15.2	191.6 
1354	0	2	15.3	169.5 
1355	0	2	15.4	154.5 
1356	0	2	15.5	164.7 
1357	0	2	15.6	174.6 
1358	0	2	15.7	167.5 
1359	0	2	15.8	170.2 
1360	0	2	15.9	142.3 
1361	0	2	16.0	131.9 
1362	0	2	16.1	124.6 
1363	0	2	16.2	121.0 
1364	0	2	16.3	140.7 
1365	0	2	16.4	136.4 
1366	0	2	16.5	134.3 
1367	0	2	16.6	127.5 
1368	0	2	16.7	113.9 
1369	0	2	16.8	116.7 
1370	0	2	16.9	119.3 
1371	0	2	17.0	134.2 
1372	0	2	17.1	121.5 
1373	0	2	17.2	112.5 
1374	0	2	17.3	117.0 
1375	0	2	17.4	131.1 
1376	0	2	17.5	110.1 
1377	0	2	17.6	118.0 
1378	0	2	17.7	110.1 
1379	0	2	17.8	108.8 
1380	0	2	17.9	101.3 
1381	0	2	18.0	 99.7 
1382	0	2	18.1	108.4 
1383	0	2	18.2	108.8 
1384	0	2	18.3	 93.5 
1385	0	2	18.4	 93.9 
1386	0	2	18.5	 83.3 
1387	0	2	18.6	 69.1 
1388	0	2	18.7	 51.0 
1389	0	2	18.8	 25.8 
1390	0	2	18.9	 31.2 
1391	0	2	19.0	 41.2 
1392	0	2	19.1	 38.4 
1393	0	2	19.2	 64.8 
1394	0	2	19.3	 92.9 
1395	0	2	19.4	 81.8 
1396	0	2	19.5	 66.6 
1397	0	2	19.6	 77.3 
1398	0	2	19.7	 87.3 
1399	0	2	19.8	 81.9 
1400	0	2	19.9	 90.0 
1401	0	2	20.0	 97.8 
1402	0	2	20.1	 99.6 
1403	0	2	20.2	 88.5 
1404	0	2	20.3	 98.3 
1405	0	2	20.4	 95.5 
1406	0	2	20.5	 94.1 
1407	0	2	20.6	 99.5 
1408	0	2	20.7	 91.9 
1409	0	2	20.8	 63.3 
1410	0	2	20.9	 88.0 
1411	0	2	21.0	 92.8 
1412	0	2	21.1	 86.8 
1413	0	2	21.2	 87.3 
1414	0	2	21.3	 77.1 
1415	0	2	21.4	 73.5 
1416	0	2	21.5	 63.2 
1417	0	2	21.6	 75.2 
1418	0	2	21.7	 83.0 
1419	0	2	21.8	 98.2 
1420	0	2	21.9	 82.3 
1421	0	2	22.0	 78.1 
1422	0	2	22.1	 86.3 
1423	0	2	22.2	 82.0 
1424	0	2	22.3	 76.3 
1425	0	2	22.4	 53.3 
1426	0	2	22.5	 64.0 
1427	0	2	22.6	 77.8 
1428	0	2	22.7	 80.8 
1429	0	2	22.8	 70.1 
1430	0	2	22.9	 70.0 
1431	0	2	23.0	 78.3 
1432	0	2	23.1	 76.4 
1433	0	2	23.2	 81.1 
1434	0	2	23.3	 74.1 
1435	0	2	23.4	 63.5 
1436	0	2	23.5	 83.9 
1437	0	2	23.6	 81.7 
1438	0	2	23.7	 78.7 
1439	0	2	23.8	 69.7 
1440	0	2	23.9	 62.8 
1441	0	2	24.0	 55.5 
1442	0	2	24.1	 52.1 
1443	0	2	24.2	 44.8 
1444	0	2	24.3	 40.9 
1445	0	2	24.4	 60.6 
1446	0	2	24.5	 55.1 
1447	0	2	24.6	 45.9 
1448	0	2	24.7	 44.8 
1449	0	2	24.8	 46.9 
1450	0	2	24.9	 40.5 
1451	0	2	25.0	 40.4 
1452	0	2	25.1	 40.6 
1453	0	2	25.2	 55.1 
1454	0	2	25.3	 58.6 
1455	0	2	25.4	 54.5 
1456	0	2	25.5	 53.9 
1457	0	2	25.6	 42.8 
1458	0	2	25.7	 31.1 
1459	0	2	25.8	 36.0 
1460	0	2	25.9	 47.5 
1461	0	2	26.0	 59.0 
1462	0	2	26.1	 58.1 
1463	0	2	26.2	 72.4 
1464	0	2	26.3	 67.3 
1465	0	2	26.4	 47.7 
1466	0	2	26.5	 35.1 
1467	0	2	26.6	 35.5 
1468	0	2	26.7	 45.6 
1469	0	2	26.8	 77.8 
1470	0	2	26.9	 90.5 
1471	0	2	27.0	113.7 
1472	0	2	27.1	113.4 
1473	0	2	27.2	 93.8 
1474	0	2	27.3	 67.3 
1475	0	2	27.4	 49.8 
1476	0	2	27.5	 77.0 
1477	0	2	27.6	110.5 
1478	0	2	27.7	131.6 
1479	0	2	27.8	133.6 
1480	0	2	27.9	130.8 
1481	0	2	28.0	117.6 
1482	0	2	28.1	118.4 
1483	0	2	28.2	116.6 
1484	0	2	28.3	158.4 
1485	0	2	28.4	190.7 
1486	0	2	28.5	192.3 
1487	0	2	28.6	200.1 
1488	0	2	28.7	185.8 
1489	0	2	28.8	164.6 
1490	0	2	28.9	169.1 
1491	0	2	29.0	189.8 
1492	0	2	29.1	213.4 
1493	0	2	29.2	250.4 
1494	0	2	29.3	244.8 
1495	0	2	29.4	238.9 
1496	0	2	29.5	240.6 
1497	0	2	29.6	227.4 
1498	0	2	29.7	209.5 
1499	0	2	29.8	226.2 
1500	0	2	29.9	272.0 
1501	0	2	30.0	290.2 
1502	0	2	30.1	286.7 
1503	0	2	30.2	276.9 
1504	0	2	30.3	273.6 
1505	0	2	30.4	275.0 
1506	0	2	30.5	288.1 
1507	0	2	30.6	307.4 
1508	0	2	30.7	320.9 
1509	0	2	30.8	323.8 
1510	0	2	30.9	298.4 
1511	0	2	31.0	308.9 
1512	0	2	31.1	313.9 
1513	0	2	31.2	327.7 
1514	0	2	31.3	340.2 
1515	0	2	31.4	357.2 
1516	0	2	31.5	331.9 
1517	0	2	31.6	335.7 
1518	0	2	31.7	340.3 
1519	0	2	31.8	327.9 
1520	0	2	31.9	336.2 
1521	0	2	32.0	342.4 
1522	0	2	32.1	342.2 
1523	0	2	32.2	340.7 
1524	0	2	32.3	342.9 
1525	0	2	32.4	351.2 
1526	0	2	32.5	336.1 
1527	0	2	32.6	321.3 
1528	0	2	32.7	356.1 
1529	0	2	32.8	335.8 
1530	0	2	32.9	311.5 
1531	0	2	33.0	311.5 
1532	0	2	33.1	302.3 
1533	0	2	33.2	308.4 
1534	0	2	33.3	304.9 
1535	0	2	33.4	305.6 
1536	0	2	33.5	306.8 
1537	0	2	33.6	304.9 
1538	0	2	33.7	278.1 
1539	0	2	33.8	276.6 
1540	0	2	33.9	307.5 
1541	0	2	34.0	335.7 
1542	0	2	34.1	301.5 
1543	0	2	34.2	289.4 
1544	0	2	34.3	281.8 
1545	0	2	34.4	284.7 
1546	0	2	34.5	294.1 
1547	0	2	34.6	307.1 
1548	0	2	34.7	287.9 
1549	0	2	34.8	287.7 
1550	0	2	34.9	278.6 
1551	0	2	35.0	253.8 
1552	0	2	35.1	249.9 
1553	0	2	35.2	275.2 
1554	0	2	35.3	281.2 
1555	0	2	35.4	273.9 
1556	0	2	35.5	260.4 
1557	0	2	35.6	234.3 
1558	0	2	35.7	207.4 
1559	0	2	35.8	233.2 
1560	0	2	35.9	242.9 
1561	0	2	36.0	238.2 
1562	0	2	36.1	216.0 
1563	0	2	36.2	207.7 
1564	0	2	36.3	198.9 
1565	0	2	36.4	187.4 
1566	0	2	36.5	227.1 
1567	0	2	36.6	237.7 
1568	0	2	36.7	222.1 
1569	0	2	36.8	220.7 
1570	0	2	36.9	189.0 
1571	0	2	37.0	161.2 
1572	0	2	37.1	165.5 
1573	0	2	37.2	199.8 
1574	0	2	37.3	193.2 
1575	0	2	37.4	175.6 
1576	0	2	37.5	187.4 
1577	0	2	37.6	172.2 
1578	0	2	37.7	152.2 
1579	0	2	37.8	167.3 
1580	0	2	37.9	177.7 
1581	0	2	38.0	180.6 
1582	0	2	38.1	191.2 
1583	0	2	38.2	170.0 
1584	0	2	38.3	133.7 
1585	0	2	38.4	124.4 
1586	0	2	38.5	127.6 
1587	0	2	38.6	165.4 
1588	0	2	38.7	175.3 
1589	0	2	38.8	162.1 
1590	0	2	38.9	144.8 
1591	0	2	39.0	121.6 
1592	0	2	39.1	104.1 
1593	0	2	39.2	105.2 
1594	0	2	39.3	131.1 
1595	0	2	39.4	137.6 
1596	0	2	39.5	129.7 
1597	0	2	39.6	130.3 
1598	0	2	39.7	118.4 
1599	0	2	39.8	104.5 
1600	0	2	39.9	 96.5 
1601	0	2	40.0	 94.3 
1602	0	2	40.1	113.2 
1603	0	2	40.2	113.6 
1604	0	2	40.3	107.2 
1605	0	2	40.4	 93.4 
1606	0	2	40.5	 78.5 
1607	0	2	40.6	 77.7 
1608	0	2	40.7	 84.1 
1609	0	2	40.8	118.9 
1610	0	2	40.9	115.7 
1611	0	2	41.0	122.5 
1612	0	2	41.1	114.6 
1613	0	2	41.2	 92.7 
1614	0	2	41.3	 91.0 
1615	0	2	41.4	109.8 
1616	0	2	41.5	139.2 
1617	0	2	41.6	138.3 
1618	0	2	41.7	130.6 
1619	0	2	41.8	118.4 
1620	0	2	41.9	104.8 
1621	0	2	42.0	 87.9 
1622	0	2	42.1	 84.9 
1623	0	2	42.2	 94.6 
1624	0	2	42.3	 93.6 
1625	0	2	42.4	 72.7 
1626	0	2	42.5	 58.5 
1627	0	2	42.6	 47.0 
1628	0	2	42.7	 64.4 
1629	0	2	42.8	 72.7 
1630	0	2	42.9	 85.3 
1631	0	2	43.0	 96.3 
1632	0	2	43.1	 85.7 
1633	0	2	43.2	 82.2 
1634	0	2	43.3	 82.7 
1635	0	2	43.4	 63.4 
1636	0	2	43.5	 65.4 
1637	0	2	43.6	 81.5 
1638	0	2	43.7	103.5 
1639	0	2	43.8	101.1 
1640	0	2	43.9	 95.3 
1641	0	2	44.0	 85.6 
1642	0	2	44.1	 86.7 
1643	0	2	44.2	103.1 
1644	0	2	44.3	100.2 
1645	0	2	44.4	112.7 
1646	0	2	44.5	 99.2 
1647	0	2	44.6	100.6 
1648	0	2	44.7	 94.0 
1649	0	2	44.8	 97.3 
1650	0	2	44.9	 89.5 
1651	0	2	45.0	 88.8 
1652	0	2	45.1	 76.5 
1653	0	2	45.2	 88.3 
1654	0	2	45.3	 97.0 
1655	0	2	45.4	 96.1 
1656	0	2	45.5	 92.8 
1657	0	2	45.6	 72.7 
1658	0	2	45.7	 74.1 
1659	0	2	45.8	 75.9 
1660	0	2	45.9	 93.2 
1661	0	2	46.0	118.9 
1662	0	2	46.1	134.2 
1663	0	2	46.2	 95.6 
1664	0	2	46.3	 90.2 
1665	0	2	46.4	 74.2 
1666	0	2	46.5	 67.1 
1667	0	2	46.6	 67.1 
1668	0	2	46.7	 99.7 
1669	0	2	46.8	107.3 
1670	0	2	46.9	118.0 
1671	0	2	47.0	104.0 
1672	0	2	47.1	 92.9 
1673	0	2	47.2	 81.9 
1674	0	2	47.3	 59.4 
1675	0	2	47.4	 88.6 
1676	0	2	47.5	148.2 
1677	0	2	47.6	155.7 
1678	0	2	47.7	142.7 
1679	0	2	47.8	124.1 
1680	0	2	47.9	108.4 
1681	0	2	48.0	108.0 
1682	0	2	48.1	 93.7 
1683	0	2	48.2	100.0 
1684	0	2	48.3	136.2 
1685	0	2	48.4	143.0 
1686	0	2	48.5	144.9 
1687	0	2	48.6	137.3 
1688	0	2	48.7	110.7 
1689	0	2	48.8	 80.5 
1690	0	2	48.9	 94.6 
1691	0	2	49.0	 80.3 
1692	0	2	49.1	117.1 
1693	0	2	49.2	166.9 
1694	0	2	49.3	166.6 
1695	0	2	49.4	136.8 
1696	0	2	49.5	152.5 
1697	0	2	49.6	157.5 
1698	0	2	49.7	100.7 
1699	0	2	49.8	 71.2 
1700	0	2	49.9	 77.0 
1701	0	2	50.0	 88.4 
1702	0	2	50.1	 96.4 
1703	0	2	50.2	 74.6 
1704	0	2	50.3	 75.3 
1705	0	2	50.4	 78.6 
1706	0	2	50.5	108.2 
1707	0	2	50.6	105.1 
1708	0	2	50.7	 72.5 
1709	0	2	50.8	 61.0 
1710	0	2	50.9	 99.1 
1711	0	2	51.0	119.8 
1712	0	2	51.1	118.1 
1713	0	2	51.2	102.6 
1714	0	2	51.3	 88.5 
1715	0	2	51.4	 71.1 
1716	0	2	51.5	 53.1 
1717	0	2	51.6	 45.9 
1718	0	2	51.7	 58.0 
1719	0	2	51.8	 96.7 
1720	0	2	51.9	113.4 
1721	0	2	52.0	129.0 
1722	0	2	52.1	119.9 
